"section","claim_id","manuscript_value","source_csv","filters","source_columns","verification_status","notes"
"End matter","frozen_spec_digest","0080d502a50db430998b56ebc6419ee181c90a1331cd2b650bb25db298523f81","PRIMARY_SPEC_HASH.txt","filename=02_ESD_AI_USP_v6.md","sha256","verified","Digest independently rechecked and reported in Data and code availability."
"5","cost_CHL_PEN","3.10 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=PEN","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0310439682080007."
"5","cost_COL_PEN","0.90 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=PEN","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.009046444462084."
"5","cost_MEX_PEN","1.60 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=PEN","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0159961252256844."
"5","cost_PER_PEN","0.56 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=PEN","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0055738452620398."
"5","cost_CHL_MUT","2.90 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=MUT","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0290401360966814."
"5","cost_COL_MUT","4.75 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=MUT","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0474560908563153."
"5","cost_MEX_MUT","3.95 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=MUT","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0395313732748723."
"5","cost_PER_MUT","5.34 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=MUT","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0533947932223759."
"5","cost_CHL_GMI_GMI_ideal_aggregate","0.15 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0014636228592727."
"5","cost_COL_GMI_GMI_ideal_aggregate","2.99 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=GMI:GMI_ideal_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0298593723667936."
"5","cost_MEX_GMI_GMI_ideal_aggregate","1.01 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=GMI:GMI_ideal_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0101200315583673."
"5","cost_PER_GMI_GMI_ideal_aggregate","2.79 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=GMI:GMI_ideal_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0278720820620802."
"5","cost_CHL_GMI_GMI_loaded_aggregate","0.22 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=GMI:GMI_loaded_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0021954342889091."
"5","cost_COL_GMI_GMI_loaded_aggregate","4.48 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=GMI:GMI_loaded_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0447890585501904."
"5","cost_MEX_GMI_GMI_loaded_aggregate","1.52 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=GMI:GMI_loaded_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0151800473375509."
"5","cost_PER_GMI_GMI_loaded_aggregate","4.18 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=GMI:GMI_loaded_aggregate","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0418081230931203."
"5","cost_CHL_PBI","4.85 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=PBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0485174943239629."
"5","cost_COL_PBI","7.43 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=PBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0743213726473507."
"5","cost_MEX_PBI","5.91 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=PBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0590542021843079."
"5","cost_PER_PBI","7.97 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=PBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.0796945147314945."
"5","cost_CHL_UBI","11.62 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=CHL AND policy_variant_id=UBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.1161605443867259."
"5","cost_COL_UBI","18.98 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=COL AND policy_variant_id=UBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.1898243634252614."
"5","cost_MEX_UBI","15.81 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=MEX AND policy_variant_id=UBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.1581254930994895."
"5","cost_PER_UBI","21.36 percent of GDP","reports/paper_tables/table2_policy_costs.csv","country_id=PER AND policy_variant_id=UBI","cost_gross_gdp;cost_net_gdp;endpoint_cost_rule","verified","Table value is 100*cost_gross_gdp, rounded to two decimals; raw=0.2135791728895036."
"5","micro_validation_PER","-7.73 percent relative to aggregate GMI cost","reports/gmimicro_cost_comparison_baseline-official-v3.csv","country_id=PER AND primary_variant=True","difference_percent_vs_official;cost_micro_gdp;cost_official_aggregate_gdp","verified","Both ideal and loaded primary rows have the same percentage difference; raw=-7.73360701069341."
"5","micro_validation_CHL","+0.39 percent relative to aggregate GMI cost","reports/gmimicro_chl_cost_comparison_baseline-official-v3.csv","country_id=CHL AND primary_variant=True","difference_percent_vs_official;cost_micro_gdp;cost_official_aggregate_gdp","verified","Both ideal and loaded primary rows have the same percentage difference; raw=0.386628793144372."
"5","heatmap_r0_PER_PEN_low","-0.26","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.2618923549364835."
"5","heatmap_r0_PER_GMI_GMI_ideal_aggregate_low","-0.12","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.1206016483482565."
"5","heatmap_r0_PER_GMI_GMI_loaded_aggregate_low","-0.08","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0804010988988376."
"5","heatmap_r0_PER_MUT_low","-0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=MUT AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0163802066209102."
"5","heatmap_r0_PER_PBI_low","-0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0073035501789853."
"5","heatmap_r0_PER_UBI_low","0.00","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=UBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0020403228103652."
"5","heatmap_r0_PER_PEN_mid","0.08","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0781898593701847."
"5","heatmap_r0_PER_GMI_GMI_ideal_aggregate_mid","-0.05","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0525921743988333."
"5","heatmap_r0_PER_GMI_GMI_loaded_aggregate_mid","-0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0350614495992222."
"5","heatmap_r0_PER_MUT_mid","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=MUT AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0191207387806886."
"5","heatmap_r0_PER_PBI_mid","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0164818464107766."
"5","heatmap_r0_PER_UBI_mid","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=UBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0068349135400345."
"5","heatmap_r0_PER_PEN_high","0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0285562484215996."
"5","heatmap_r0_PER_GMI_GMI_ideal_aggregate_high","-0.06","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0625178795043044."
"5","heatmap_r0_PER_GMI_GMI_loaded_aggregate_high","-0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0416785863362029."
"5","heatmap_r0_PER_MUT_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=MUT AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0139395207156327."
"5","heatmap_r0_PER_PBI_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0130104648714601."
"5","heatmap_r0_PER_UBI_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=UBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0055396090237705."
"5","heatmap_r0_PER_PEN_stress","1.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PEN AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=1.0152041145854496."
"5","heatmap_r0_PER_GMI_GMI_ideal_aggregate_stress","0.13","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.1347914754936483."
"5","heatmap_r0_PER_GMI_GMI_loaded_aggregate_stress","0.09","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0898609836624322."
"5","heatmap_r0_PER_MUT_stress","0.12","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=MUT AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.1169350040245641."
"5","heatmap_r0_PER_PBI_stress","0.08","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=PBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0820167515983148."
"5","heatmap_r0_PER_UBI_stress","0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=PER AND policy_variant_id=UBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0312884798510033."
"5","heatmap_r0_CHL_PEN_low","-0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PEN AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0446157845733166."
"5","heatmap_r0_CHL_GMI_GMI_ideal_aggregate_low","-2.25","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-2.245607572267461."
"5","heatmap_r0_CHL_GMI_GMI_loaded_aggregate_low","-1.50","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-1.497071714844974."
"5","heatmap_r0_CHL_MUT_low","-0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=MUT AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0275453695858054."
"5","heatmap_r0_CHL_PBI_low","-0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0104571851976836."
"5","heatmap_r0_CHL_UBI_low","0.00","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=UBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0031084048057245."
"5","heatmap_r0_CHL_PEN_mid","0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PEN AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0324037073756413."
"5","heatmap_r0_CHL_GMI_GMI_ideal_aggregate_mid","-0.61","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.6119963968804701."
"5","heatmap_r0_CHL_GMI_GMI_loaded_aggregate_mid","-0.41","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.4079975979203134."
"5","heatmap_r0_CHL_MUT_mid","0.05","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=MUT AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0547886336536989."
"5","heatmap_r0_CHL_PBI_mid","0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0388238152491779."
"5","heatmap_r0_CHL_UBI_mid","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=UBI AND scenario_id=mid AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0174750960041515."
"5","heatmap_r0_CHL_PEN_high","0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PEN AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0197250231634253."
"5","heatmap_r0_CHL_GMI_GMI_ideal_aggregate_high","-0.88","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.8809158573204959."
"5","heatmap_r0_CHL_GMI_GMI_loaded_aggregate_high","-0.59","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.587277238213664."
"5","heatmap_r0_CHL_MUT_high","0.04","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=MUT AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0412350928475216."
"5","heatmap_r0_CHL_PBI_high","0.03","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0307113462297521."
"5","heatmap_r0_CHL_UBI_high","0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=UBI AND scenario_id=high AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0140867108026072."
"5","heatmap_r0_CHL_PEN_stress","0.25","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PEN AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.2452211325082953."
"5","heatmap_r0_CHL_GMI_GMI_ideal_aggregate_stress","3.90","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=3.901937871138183."
"5","heatmap_r0_CHL_GMI_GMI_loaded_aggregate_stress","2.60","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=2.6012919140921213."
"5","heatmap_r0_CHL_MUT_stress","0.28","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=MUT AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.282290920761839."
"5","heatmap_r0_CHL_PBI_stress","0.17","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=PBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.1749952616930563."
"5","heatmap_r0_CHL_UBI_stress","0.07","reports/paper_tables/table4_vgross_baseline.csv","country_id=CHL AND policy_variant_id=UBI AND scenario_id=stress AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=0.0743506677811865."
"5","heatmap_r0_COL_PEN_low","-0.16","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PEN AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.1616526824314932."
"5","heatmap_r0_COL_GMI_GMI_ideal_aggregate_low","-0.11","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_ideal_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.112663238540209."
"5","heatmap_r0_COL_GMI_GMI_loaded_aggregate_low","-0.08","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=GMI:GMI_loaded_aggregate AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0751088256934726."
"5","heatmap_r0_COL_MUT_low","-0.02","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=MUT AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.018485557526338."
"5","heatmap_r0_COL_PBI_low","-0.01","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=PBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0078670161561991."
"5","heatmap_r0_COL_UBI_low","0.00","reports/paper_tables/table4_vgross_baseline.csv","country_id=COL AND policy_variant_id=UBI AND scenario_id=low AND regime_id=r0","v_gross;crosses_v1;cell_result_class","verified","Frozen figure prints v_gross to two decimals; raw=-0.0023095297273273."
