country_id,policy_id,policy_variant_id,gmi_version,cost_gross_gdp,cost_net_gdp,endpoint_cost_rule,policy_parameter_id,year,age_threshold,eta_policy,chi_gmi,theta_target,benefit_formula,eligible_population_rule,gross_or_net_convention,existing_spending_treatment,poverty_line_convention,indexation_rule,source_id,assumption_id,source_url,dataset_version,created_at,created_by_script
CHL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0014636228592727,0.0014636228592727,GMI fixed aggregate endpoint c_2034=c_2024.,CHL_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0021954342889091,0.0021954342889091,GMI fixed aggregate endpoint c_2034=c_2024.,CHL_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.657998+00:00,build_official_4c_anchors.py
CHL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0021954342889091,0.0021954342889091,GMI fixed aggregate endpoint c_2034=c_2024.,CHL_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL,MUT,MUT,,0.0290401360966814,0.0290401360966814,Endpoint cost scales by WPP eligible-share ratio.,CHL_MUT_2024_ASSUMED_ETA,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL,PBI,PBI,,0.0485174943239629,0.0485174943239629,Endpoint cost scales by WPP eligible-share ratio.,CHL_PBI_2024_ASSUMED_ETA,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
CHL,UBI,UBI,,0.1161605443867259,0.1161605443867259,Endpoint cost scales by WPP eligible-share ratio.,CHL_UBI_2024_ASSUMED_ETA,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,PEN,PEN,,0.009046444462084,0.009046444462084,"Colombia PEN endpoint uses WPP sex/age rule: women>=54, men>=59; COP 80k monthly under 80 and COP 225k monthly age>=80.",COL_PEN_2024_OFFICIAL,2024,,,,,"Colombia Mayor differential 2024: monthly 80,000 below 80; monthly 225,000 for 80+","female age>=54, male age>=59; COP 80,000 monthly under 80 and COP 225,000 monthly age>=80",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,PROSPERIDAD_SOCIAL_COLOMBIA_MAYOR_2024,,https://prosperidadsocial.gov.co/colombia-mayor/,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0298593723667936,0.0298593723667936,GMI fixed aggregate endpoint c_2034=c_2024.,COL_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0298593723667936,0.0298593723667936,GMI fixed aggregate endpoint c_2034=c_2024.,COL_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0447890585501904,0.0447890585501904,GMI fixed aggregate endpoint c_2034=c_2024.,COL_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0447890585501904,0.0447890585501904,GMI fixed aggregate endpoint c_2034=c_2024.,COL_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,MUT,MUT,,0.0474560908563153,0.0474560908563153,Endpoint cost scales by WPP eligible-share ratio.,COL_MUT_2024_ASSUMED_ETA,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,PBI,PBI,,0.0743213726473507,0.0743213726473507,Endpoint cost scales by WPP eligible-share ratio.,COL_PBI_2024_ASSUMED_ETA,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL,UBI,UBI,,0.1898243634252614,0.1898243634252614,Endpoint cost scales by WPP eligible-share ratio.,COL_UBI_2024_ASSUMED_ETA,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
MEX,PEN,PEN,,0.0159961252256844,0.0159961252256844,Endpoint cost scales by WPP eligible-share ratio.,MEX_PEN_2024_OFFICIAL,2024,65.0,,,,"MXN 6,000 bimonthly in 2024 * 6",age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,BIENESTAR_MEXICO_ADULTOS_MAYORES_2024,,https://www.gob.mx/bienestar/prensa/2024-inicia-con-aumentos-a-pensiones-de-bienestar-anuncia-ariadna-montiel?idiom=es,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0101200315583673,0.0101200315583673,GMI fixed aggregate endpoint c_2034=c_2024.,MEX_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,GMI,GMI:GMI_ideal_aggregate,GMI_ideal_aggregate,0.0101200315583673,0.0101200315583673,GMI fixed aggregate endpoint c_2034=c_2024.,MEX_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0151800473375509,0.0151800473375509,GMI fixed aggregate endpoint c_2034=c_2024.,MEX_GMI_ideal_aggregate_2024,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,GMI,GMI:GMI_loaded_aggregate,GMI_loaded_aggregate,0.0151800473375509,0.0151800473375509,GMI fixed aggregate endpoint c_2034=c_2024.,MEX_GMI_loaded_aggregate_2024,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,MUT,MUT,,0.0395313732748723,0.0395313732748723,Endpoint cost scales by WPP eligible-share ratio.,MEX_MUT_2024_ASSUMED_ETA,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,PBI,PBI,,0.0590542021843079,0.0590542021843079,Endpoint cost scales by WPP eligible-share ratio.,MEX_PBI_2024_ASSUMED_ETA,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX,UBI,UBI,,0.1581254930994895,0.1581254930994895,Endpoint cost scales by WPP eligible-share ratio.,MEX_UBI_2024_ASSUMED_ETA,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
